messageId,sourceName,sourceHost,sourceCategory,messageTime,receiptTime,sourceId,collectorId,count,format,view,encoding,message
"-9223372036261114756","syslog","foo.bar.com","/xapi/DEV/xavi/statsd","1467400989626","1467400974462","114107459","102507502","4590723","plain:atp:o:-1:l:0:p:null","","UTF8","XIWS.foo.bar.com.runtime.num_goroutines:17.000000|g
XIWS.foo.bar.com.runtime.alloc_bytes:1380400.000000|g
XIWS.foo.bar.com.runtime.sys_bytes:11684088.000000|g
XIWS.foo.bar.com.runtime.malloc_count:254212624.000000|g
XIWS.foo.bar.com.runtime.free_count:254201920.000000|g
XIWS.foo.bar.com.runtime.heap_objects:10689.000000|g
XIWS.foo.bar.com.runtime.total_gc_pause_ns:21455822848.000000|g
XIWS.foo.bar.com.runtime.total_gc_runs:33349.000000|g
"
"-9223372036261114755","syslog","foo.bar.com","/xapi/DEV/xavi/statsd","1467400989626","1467400975465","114107459","102507502","4590724","plain:atp:o:-1:l:0:p:null","","UTF8","XIWS.foo.bar.com.runtime.num_goroutines:17.000000|g
XIWS.foo.bar.com.runtime.alloc_bytes:1382960.000000|g
XIWS.foo.bar.com.runtime.sys_bytes:11684088.000000|g
XIWS.foo.bar.com.runtime.malloc_count:254212672.000000|g
XIWS.foo.bar.com.runtime.free_count:254201936.000000|g
XIWS.foo.bar.com.runtime.heap_objects:10741.000000|g
XIWS.foo.bar.com.runtime.total_gc_pause_ns:21455822848.000000|g
XIWS.foo.bar.com.runtime.total_gc_runs:33349.000000|g
"
"-9223372036261114754","syslog","foo.bar.com","/xapi/DEV/xavi/statsd","1467400989626","1467400976468","114107459","102507502","4590725","plain:atp:o:-1:l:0:p:null","","UTF8","XIWS.foo.bar.com.runtime.num_goroutines:17.000000|g
XIWS.foo.bar.com.runtime.alloc_bytes:1385504.000000|g
XIWS.foo.bar.com.runtime.sys_bytes:11684088.000000|g
XIWS.foo.bar.com.runtime.malloc_count:254212736.000000|g
XIWS.foo.bar.com.runtime.free_count:254201936.000000|g
XIWS.foo.bar.com.runtime.heap_objects:10792.000000|g
XIWS.foo.bar.com.runtime.total_gc_pause_ns:21455822848.000000|g
XIWS.foo.bar.com.runtime.total_gc_runs:33349.000000|g
"
"-9223372036261114753","syslog","foo.bar.com","/xapi/DEV/xavi/statsd","1467400989626","1467400977464","114107459","102507502","4590726","plain:atp:o:-1:l:0:p:null","","UTF8","XIWS.foo.bar.com.runtime.num_goroutines:17.000000|g
XIWS.foo.bar.com.runtime.alloc_bytes:1388064.000000|g
XIWS.foo.bar.com.runtime.sys_bytes:11684088.000000|g
XIWS.foo.bar.com.runtime.malloc_count:254212784.000000|g
XIWS.foo.bar.com.runtime.free_count:254201952.000000|g
XIWS.foo.bar.com.runtime.heap_objects:10844.000000|g
XIWS.foo.bar.com.runtime.total_gc_pause_ns:21455822848.000000|g
XIWS.foo.bar.com.runtime.total_gc_runs:33349.000000|g
"
"-9223372036261114752","syslog","foo.bar.com","/xapi/DEV/xavi/statsd","1467400989626","1467400978467","114107459","102507502","4590727","plain:atp:o:-1:l:0:p:null","","UTF8","XIWS.foo.bar.com.runtime.num_goroutines:17.000000|g
XIWS.foo.bar.com.runtime.alloc_bytes:1390624.000000|g
XIWS.foo.bar.com.runtime.sys_bytes:11684088.000000|g
XIWS.foo.bar.com.runtime.malloc_count:254212848.000000|g
XIWS.foo.bar.com.runtime.free_count:254201952.000000|g
XIWS.foo.bar.com.runtime.heap_objects:10896.000000|g
XIWS.foo.bar.com.runtime.total_gc_pause_ns:21455822848.000000|g
XIWS.foo.bar.com.runtime.total_gc_runs:33349.000000|g
"
"-9223372036261114751","syslog","foo.bar.com","/xapi/DEV/xavi/statsd","1467400989626","1467400979466","114107459","102507502","4590728","plain:atp:o:-1:l:0:p:null","","UTF8","XIWS.foo.bar.com.runtime.num_goroutines:17.000000|g
XIWS.foo.bar.com.runtime.alloc_bytes:1393184.000000|g
XIWS.foo.bar.com.runtime.sys_bytes:11684088.000000|g
XIWS.foo.bar.com.runtime.malloc_count:254212896.000000|g
XIWS.foo.bar.com.runtime.free_count:254201952.000000|g
XIWS.foo.bar.com.runtime.heap_objects:10948.000000|g
XIWS.foo.bar.com.runtime.total_gc_pause_ns:21455822848.000000|g
XIWS.foo.bar.com.runtime.total_gc_runs:33349.000000|g
"
"-9223372036261114750","syslog","foo.bar.com","/xapi/DEV/xavi/statsd","1467400989626","1467400980467","114107459","102507502","4590729","plain:atp:o:-1:l:0:p:null","","UTF8","XIWS.foo.bar.com.runtime.num_goroutines:17.000000|g
XIWS.foo.bar.com.runtime.alloc_bytes:1395744.000000|g
XIWS.foo.bar.com.runtime.sys_bytes:11684088.000000|g
XIWS.foo.bar.com.runtime.malloc_count:254212960.000000|g
XIWS.foo.bar.com.runtime.free_count:254201952.000000|g
XIWS.foo.bar.com.runtime.heap_objects:11000.000000|g
XIWS.foo.bar.com.runtime.total_gc_pause_ns:21455822848.000000|g
XIWS.foo.bar.com.runtime.total_gc_runs:33349.000000|g
"
"-9223372036261114749","syslog","foo.bar.com","/xapi/DEV/xavi/statsd","1467400989627","1467400981468","114107459","102507502","4590730","plain:atp:o:-1:l:0:p:null","","UTF8","XIWS.foo.bar.com.runtime.num_goroutines:17.000000|g
XIWS.foo.bar.com.runtime.alloc_bytes:1398304.000000|g
XIWS.foo.bar.com.runtime.sys_bytes:11684088.000000|g
XIWS.foo.bar.com.runtime.malloc_count:254213024.000000|g
XIWS.foo.bar.com.runtime.free_count:254201968.000000|g
XIWS.foo.bar.com.runtime.heap_objects:11052.000000|g
XIWS.foo.bar.com.runtime.total_gc_pause_ns:21455822848.000000|g
XIWS.foo.bar.com.runtime.total_gc_runs:33349.000000|g
"
"-9223372036261114748","syslog","foo.bar.com","/xapi/DEV/xavi/statsd","1467400989627","1467400982468","114107459","102507502","4590731","plain:atp:o:-1:l:0:p:null","","UTF8","XIWS.foo.bar.com.runtime.num_goroutines:17.000000|g
XIWS.foo.bar.com.runtime.alloc_bytes:1400848.000000|g
XIWS.foo.bar.com.runtime.sys_bytes:11684088.000000|g
XIWS.foo.bar.com.runtime.malloc_count:254213072.000000|g
XIWS.foo.bar.com.runtime.free_count:254201968.000000|g
XIWS.foo.bar.com.runtime.heap_objects:11103.000000|g
XIWS.foo.bar.com.runtime.total_gc_pause_ns:21455822848.000000|g
XIWS.foo.bar.com.runtime.total_gc_runs:33349.000000|g
"
"-9223372036261114747","syslog","foo.bar.com","/xapi/DEV/xavi/statsd","1467400989627","1467400983468","114107459","102507502","4590732","plain:atp:o:-1:l:0:p:null","","UTF8","XIWS.foo.bar.com.runtime.num_goroutines:17.000000|g
XIWS.foo.bar.com.runtime.alloc_bytes:1403392.000000|g
XIWS.foo.bar.com.runtime.sys_bytes:11684088.000000|g
XIWS.foo.bar.com.runtime.malloc_count:254213136.000000|g
XIWS.foo.bar.com.runtime.free_count:254201984.000000|g
XIWS.foo.bar.com.runtime.heap_objects:11154.000000|g
XIWS.foo.bar.com.runtime.total_gc_pause_ns:21455822848.000000|g
XIWS.foo.bar.com.runtime.total_gc_runs:33349.000000|g
"
